fname,coef_os,coef_pfs,gid,select_os,select_pfs,select_both
Feature_CNA_Amp_16p13.13,0.20483718356971706,0.401826428952084,Amp_16p13.13,True,True,True
Feature_CNA_Amp_16p11.2 ,0.0806714864524198,-0.010281549536118437,Amp_16p11.2 ,False,False,False
Feature_CNA_Amp_16p11.1 ,0.34481692492767774,0.0,Amp_16p11.1 ,True,False,False
Feature_CNA_Amp_16q22.1 ,0.08906655835854929,0.17486647703101385,Amp_16q22.1 ,False,False,False
Feature_CNA_Amp_17p13.2 ,0.36276355580908914,0.25347613154007614,Amp_17p13.2 ,True,True,True
Feature_CNA_Amp_17p11.2 ,-0.016879221235776395,-0.13858104229728374,Amp_17p11.2 ,False,False,False
Feature_CNA_Amp_17q21.31,-0.05079420262350014,-0.04087480861825265,Amp_17q21.31,False,False,False
Feature_CNA_Amp_17q22   ,0.21499405162946966,0.07535747229198618,Amp_17q22   ,True,False,False
Feature_CNA_Amp_19p13.3 ,0.23378375764965365,0.0022198775308743804,Amp_19p13.3 ,True,False,False
Feature_CNA_Amp_19p13.11,-0.08037028605521278,0.022880113483919197,Amp_19p13.11,False,False,False
Feature_CNA_Amp_19p12   ,0.042768319654526696,0.02310076000224669,Amp_19p12   ,False,False,False
Feature_CNA_Amp_19q11   ,0.10722691054614787,0.0393940378145871,Amp_19q11   ,False,False,False
Feature_CNA_Amp_19q13.31,-0.4510711076961718,-0.25117849791884517,Amp_19q13.31,True,True,True
Feature_CNA_Amp_20q11.1 ,-0.298200966787503,-0.0005931738031501293,Amp_20q11.1 ,True,False,False
Feature_CNA_Amp_20q11.22,-0.4456078481336924,-0.3433060375154353,Amp_20q11.22,True,True,True
Feature_CNA_Amp_20q11.22.1,-0.21995386439426143,0.2982187987208681,Amp_20q11.22.1,True,True,True
Feature_CNA_Amp_20q13.33,0.6080156496085243,0.17199272630566984,Amp_20q13.33,True,False,False
Feature_CNA_Amp_21p11.2 ,0.12096305153837265,0.25261516809413526,Amp_21p11.2 ,False,True,False
Feature_CNA_Amp_21q22.3 ,-0.01868873449107018,-0.07000530548508214,Amp_21q22.3 ,False,False,False
Feature_CNA_Amp_22q11.22,0.17701867571043012,0.0049455707254149215,Amp_22q11.22,False,False,False
Feature_CNA_Amp_22q13.1 ,-0.40137409902439863,-0.2658992465693282,Amp_22q13.1 ,True,True,True
Feature_CNA_Del_1p32.3  ,0.5852415577061464,0.22291488295802672,Del_1p32.3  ,True,True,True
Feature_CNA_Del_1p22.1  ,-0.17163976466179878,-0.0607243373281644,Del_1p22.1  ,False,False,False
Feature_CNA_Del_1p12    ,0.30588752466227936,0.30858458041904346,Del_1p12    ,True,True,True
Feature_CNA_Del_1q31.3  ,-0.32939508193710787,-0.3062545864847437,Del_1q31.3  ,True,True,True
Feature_CNA_Del_2p11.2  ,-0.006892200584780686,0.027666588565765593,Del_2p11.2  ,False,False,False
Feature_CNA_Del_2q37.1  ,0.5667841817856777,0.5559983261930203,Del_2q37.1  ,True,True,True
Feature_CNA_Del_4p16.3  ,0.24268711931097636,0.11736542106066604,Del_4p16.3  ,True,False,False
