PUBLIC_ID	Feature_UAMS70
d3a84ca9f3cbd10eca7543cab3bc440adc8bd9e96cd9bb464f118e961eab6e19	0.863771702
1369d2c52d404e6b2acb25231150e4189b0b0ec17713da647a8c665643832c30	0.061282944
281fc6fbd869978d62e96202d2758993229114145e16f2d0d56fdd6ab3b91df9	0.205859328
454f1737faa6b54c363e9d706d29e9456b0afd216adb9e50d9bb414c8bf307e8	0.126697829
92edc1ad3e041d15c128219b41379d418fc027fc95c32cebb9cb466ee521f998	0.765685256
05bfb03e3ddf8fe35b855364b834b3a67028196e0562386eda12de77ab417934	0.384864356
ed22c046acda1d368712d88176258b3575b073288af7bba03dbc382f26faccd1	-0.054136069
e8b8f14697a6c8eb512141b67f35b8734ac2a06a6455f3c819bc11c089757f50	0.300571155
2c66b02c123312b2fd932151755a77931bed81938a46cff52a96f26b590e643b	0.10814163
c165b47e458aa180efcc9b249d29aadb176e1e594c00a51aa6b6b4c9a188a278	0.290196643
f2bdcdb55ef3a7a89ed3c2b0a340719c458df9e00b496f5b420d854c177e196a	0.63018583
8865d577d3bdca48f56d812e2defd4edf19f3c65339f40d1ecd81fd6d3e801e4	0.587551052
843dce160d553a05223189450ae09645849284b5b0dd2540c6911ef1558efc92	-0.204057815
59bcf023dad638bbe86364500d1d5eeeca5901391e3b544d027c7f849f1518a1	0.423537797
3a7c79288fa48ac81f88c631597eed5decbf868bc3987976e154b405829e6ac0	0.590501935
9b229d918f5ce5cfa8eb324da942aeb1cc30235ff0075244b5d9667faa0ff040	0.483952344
d9aa9d9a36323b2e17758c9a747ca879e3ef0bc6d4c66b92d9d3327b1a1374c5	0.216130584
b9ec4b9238984a32e2672a0c6933da720e9ecff73a12a726071017a876b9a515	1.893470635
e30e34c2de4832f4800157342eeed52b10bcc7dedbf075ace3ef66d11bfc5312	0.198492967
bb8ab98ddbc588bc58b432874a9659f63bc5f2145d3b1b8da6554531344d25c6	0.665752315
03f6d24c49e079bc4c51927c02d2ac8aca698663fcffa02e519151ac1f9c2a10	0.094595036
6ccbe66bace47e721b8556e8698cda4c7ccd38323027504612fcd668b067204d	-0.187632379
5a89a95d91ecfc83bf585d8d8228c8e77b6f96f667db038b734c11812a3ce8a0	0.9430385
e6b3748e661d0b23451fcc9e25e3a8fc1f9e24fc1b978a9bd06abae1701ea6f7	0.277438078
a681c7e3c361fa4826e69340f9860a9918451b9ab4553ae85e34d1b2beafc20d	0.647480507
2c8ae4fbc3daad0fb02936abdc491b3d80b8fe37e6de8e1d1ad5ea7a5a82e5cf	0.40766716
735371dc79694929b16f76b28365b26a3dbfbe6fb0bf3a924f0e328dd454e632	0.69986607
494185f71b1e2f0ed60861a9c109e3a830a9e418f102c3b5f6f0e12f7dd1d38c	0.703026769
5c8e344d223f309d98cb4fbce0b92e66ccddd79f0f806384857900c6a548d908	0.431059559
62217649ab5c9f6c179f2c3a7180db643fdbf08fe0d5d799707be91e7bd3cef4	0.36448644
f71fec9da53648370b0f667d35e63957c647d373a482d290c310a7d40d58e938	0.519208127
104e411d94a9603bef297a883fdf64bf5db806848afbfa5f0af2790b524ee539	-0.181109242
919b2face2ffb48bc27c037c0d754bc1eaaaede1f7100a4bacd8561eb8562986	0.782539938
83893c2d5518c739aa62ed550d6a215dcd57b531dc6c57e0e6a3b50fc806900b	0.212586074
1e09fa3aa13a4539f6f2f26b3c0b2c5e6625ed17f855552027753500656cd21f	0.275301541
dfcbcc6df6df63034dd146386681fac32521b7ae267b71c40de0c186c4da971e	1.071868522
6ed21c40a75864607119fe1bc32af1a11b1659af404c2e641770be88a7554ce8	0.224092308
ec928b0d258836d331e78ab295ecde64d11ed7f80e68fd1cda6108a534cb2a3c	1.006506014
3ef414057a837e290649327cb4d8e0fe7fc939f546100301129344b02ce6f432	0.555172468
36743c9dde83b2aedd24e41d064acd7d0a8743dd7130d5dd7a126da625909991	-0.072997617
e6740f2165a881944cc24c4031ac0deabdb489cf0b36e71f5f6417826ac8613e	0.728828699
dd4baf119a09380fe76897e155236bb6813aa1c7b1d17dc09a145965b59ae113	0.655401805
7eb12b9c335ccd15fc1edb110bac22bb6acdb1e5336fdccf9b7f40a73682c188	0.685332983
51f0bde7522fcdaf3bb1c242c5a34b1e624c52d57259575117729c202cc5dfad	0.806183536
014b8c22fdcce0d7c42c50ff67918dbfdfe725199c433e0af353f82db0092879	0.100621316
3d5b024ce58f27326af58ffbda60e4041624172d1c2c0ef7d1f896372b7a0818	0.924069451
12ef0a0117b86a2f502e875295bb886751455a8283e29c4eb883b925324fc459	0.421561805
7fded17e02d65df03d2665957ad1a872c63cabed8858e50ea25696a8471c6bf2	0.922179203
a8521ec5a4e3e43efe150d1bc7e7670977c5d8730d1a5ea366d0d0bd28620ed9	0.763375779
57380cf677dcc353007f9f84bf8e8d95b9c552bf409293ebbc12f22d598de358	0.791147765
48bfd08e5bf6ea02109d7fe886405d3bc65b71b7db4c4bd82fc7d00b2fa8ce97	0.689369172
89756464caa878caf598ce55bced9b99813d827a13c759b5efcbe6ff2289de09	-0.278273637
f7955aeaa287327c84ae398ad057ba00265a157a5270dfd4926ccc25b6479071	0.331364868
a4203f15cf3d790a662f21a31b6a90556102d32f1e0a54b48a461eb4e97adafe	0.742792765
f8bb695319c64ab59242fff812f6d31798670232f07b5de8c8519ba7874ffada	0.695995267
ac7b13de46b605a55f8f400e9d03ba51449e92798f2d8bd29a79d3c452adeb2e	0.305168773
bdb727d51db34cf84ca3491cc6741f54d1ea5883682ce7f29711579934fec90b	0.128668784
2793bc621a8ab2703a8238cc5d66d0b3e0cf20c39321dd3b3823b72d1d209ccc	0.790236242
0a3471221501dbe44ffa132b8838f449714a23c3aa31bea3bd75eaae70dd4336	1.164694586
612b8d4ed0e59401e2a3115fbd3a4676c7b26871119b44b36cea6007e669c2fe	0.025407588
8553c3674f5faeec787f4d01601a544d843da6ab57ca31c5a276b9984e80df87	0.639294982
c4cc59012cefd9b28085ea042dd3e2020283069af6b94f5d55ac4e1de27e1290	1.079027368
