affy_hg_u133_plus_2,weight
204379_s_at,0.0594273379801556
202728_s_at,-0.110491572253885
239054_at,-0.108832301005201
202842_s_at,-0.062550086484268
213002_at,-0.0418164824703641
210334_x_at,0.0174897923948543
201795_at,0.00668584689209701
38158_at,0.0423154071076169
208232_x_at,-0.0493203905211073
201307_at,0.0164925076573208
226742_at,-0.0344544706411548
205046_at,0.00866233731636807
204026_s_at,0.00455819600852017
226218_at,-0.0644105573058562
217824_at,-0.00414107711721288
233399_x_at,-0.0183994540236258
224009_x_at,-0.0520135932088583
215177_s_at,-0.0767532974279582
202532_s_at,-0.00063407777663618
238662_at,0.0489558593887832
212788_x_at,-0.0163691988848842
220351_at,0.0420452994583269
202542_s_at,0.0870276088358123
243018_at,0.0406887458334764
209683_at,-0.05606504920594
212282_at,0.0529972408575157
208967_s_at,0.0112796922615379
225366_at,0.0140109440864371
217852_s_at,0.00078080860374577
225601_at,0.075000229909631
231210_at,0.009265826714752
214482_at,0.0860546977563988
208942_s_at,-0.0996944005531858
219550_at,0.0558748936987772
231989_s_at,0.073011096187736
202553_s_at,0.00538232634785429
223811_s_at,0.055611094941233
221041_s_at,-0.0520445402963303
221677_s_at,0.0125985686829356
213350_at,0.005608194716564
200775_s_at,0.0163467078063
226217_at,-0.0319185908460475
217728_at,0.0773361612870129
201930_at,-0.00900009551662273
216473_x_at,-0.0575829465263513
211714_x_at,0.022119958576764
221755_at,0.0396248830654306
AFFX-HUMISGF3A/M97935_MA_at,0.0524561174360331
206204_at,0.0476703103071683
217548_at,-0.0422745546301539
215181_at,-0.0341783399437912
217732_s_at,-0.0251675596648738
214612_x_at,0.0495596844465701
202813_at,0.0547508890118559
200875_s_at,0.0437224907573062
201292_at,-0.0371869820707693
222680_s_at,0.0205354349665636
233437_at,0.0445923111233813
223381_at,-0.0069962048640006
209026_x_at,0.025498590737044
221606_s_at,0.0208131193381807
231738_at,0.0685640666167821
230034_x_at,-0.0330380997958823
213007_at,-0.0105781969037762
242180_at,-0.0585102612125953
202322_s_at,0.0128945938676131
208904_s_at,-0.0333628118834898
214150_x_at,-0.0349253487676344
238116_at,0.0660971817524709
208732_at,-0.0617575340318364
200701_at,-0.0210452256979565
208667_s_at,-0.0389953930227488
208747_s_at,-0.0873912090180467
218662_s_at,-0.0176248165093743
211963_s_at,0.0302900524131141
201555_at,-0.0051520032747514
207618_s_at,0.0745893468079515
200933_x_at,-0.0322581999457566
221826_at,0.0200333568025016
218355_at,0.0115861932788841
219510_at,-0.00969926642147875
218365_s_at,0.00345861530256628
222713_s_at,0.0277930303183715
222154_s_at,0.0153863421114279
228416_at,-0.0777964537268526
201102_s_at,0.0349480953839344
203145_at,-0.00022873908620183
238780_s_at,-0.0529393125922244
202884_s_at,0.0713507977617356
201398_s_at,-0.0253569213540041
212055_at,0.0384170565171902
202107_s_at,0.0225490655109955
